year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,lost,GP,min,arena,powerRanking,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
7,5,0,2,1,1,1,1,406,880,324,760,11,34,6825,16,52.569911935708035,28.84163089784061,39.40462591026021,48.01578039212522,100.0,58.78787878787879,71.25984251968502,12.422360248447198,70.89552238805972,75.0,32.131661442006276,0.0,75.23087292283928,18.135604410114208,24.621212121212146,0.0,100.0,57.14285714285714,34.871794871794876,35.18518518518517,12.078152753108357,67.64705882352942,91.66666666666664,70.0,90.9090909090909,100.0
8,5,0,1,1,1,1,0,380,931,309,780,10,34,6850,16,53.916168704173465,72.96848132526804,58.03501415012748,76.87893521847865,100.0,43.12796208530804,57.93103448275866,0.0,53.06122448979595,34.375000000000014,46.40522875816997,0.0,28.72490770471638,17.02295815454581,17.307692307692328,46.40522875816995,100.0,43.03797468354429,22.077922077922068,42.66666666666667,31.83520599250937,70.58823529411765,100.0,100.0,85.45454545454547,100.0
9,5,0,1,1,1,1,1,405,843,324,761,12,34,6875,16,55.74434999446782,76.16547046272773,51.1740856041441,57.6019692194438,83.41463414634146,93.57142857142856,62.88659793814432,59.29203539823007,14.545454545454534,29.496402877697847,47.35202492211842,31.89371338942331,64.3775359633276,69.53123272933598,4.484304932735408,20.772946859903396,100.0,0.0,58.40000000000004,14.705882352941183,19.237147595356525,64.70588235294117,86.66666666666667,83.33333333333331,100.0,100.0
10,5,0,3,1,1,0,-1,373,853,320,781,16,34,6975,16,42.716033752557394,48.9296355540701,30.081823696242356,55.12876635775158,84.28571428571432,70.9302325581395,100.0,28.205128205128204,60.3896103896104,0.0,21.73913043478263,17.274994929962155,40.85905507614078,33.985434813651324,28.404669260700395,28.96551724137933,67.02127659574468,31.313131313131297,39.88764044943819,0.0,30.270270270270267,52.94117647058824,57.14285714285715,42.857142857142854,42.307692307692314,54.97994360379681
1,6,1,2,1,1,1,1,273,724,290,612,5,32,6475,5,52.37575151882359,100.0,100.0,79.07906812820545,68.45637583892618,53.06122448979592,0.0,59.32203389830508,6.707317073170732,43.61702127659575,100.0,15.837823889717479,43.46698836259622,20.640976947340597,20.13888888888889,31.666666666666664,39.55223880597015,12.195121951219512,42.857142857142854,13.698630136986301,15.186915887850466,84.375,90.9090909090909,100.0,100.0,68.62526196212076
2,6,1,4,1,0,-1,-1,348,710,297,685,13,32,6450,5,37.337803970831196,24.468572451737593,79.19119215942871,35.411238756526885,78.03738317757009,7.608695652173914,0.0,41.52542372881356,4.9504950495049505,17.105263157894736,24.23076923076923,15.37997320951931,16.000384024577468,44.30590191188692,42.32558139534884,36.15819209039548,12.70718232044199,33.33333333333333,27.564102564102566,61.111111111111114,42.82744282744283,59.375,54.54545454545454,60.0,60.00000000000001,55.28240657274577
3,6,1,2,1,0,-1,-1,299,702,309,664,8,32,6425,5,42.23812379772816,55.499897073295166,91.69180554247879,38.31803097427325,48.175182481751825,14.743589743589745,0.0,62.76595744680851,35.338345864661655,45.26315789473684,15.367483296213807,0.0,34.914760790947255,10.418761662332855,36.64596273291926,29.508196721311474,26.70807453416149,78.26086956521739,34.18803418803419,0.0,0.0,75.0,100.0,75.0,90.90909090909092,57.235893521379325
4,6,1,2,1,0,-1,-1,266,764,298,708,14,34,6825,5,36.32333090787727,73.51055297370579,92.25967925867434,42.57273046571411,26.739926739926705,23.270440251572314,0.0,35.77235772357724,9.195402298850542,53.08641975308641,32.23684210526313,15.35140856215117,13.761642283567713,53.63848216367455,10.416666666666691,44.44444444444442,33.01435406698567,4.651162790697693,3.225806451612892,41.463414634146346,0.0,58.82352941176471,100.0,36.36363636363637,69.23076923076923,35.05360405644386
5,6,1,6,0,-1,-1,-1,311,724,335,720,21,34,6850,18,35.81534545733768,44.71992859688553,56.88917232078453,56.02326959214612,54.69798657718119,12.50000000000002,0.0,31.428571428571416,31.746031746031722,21.153846153846146,21.091811414392076,48.454172691241496,38.12599584725387,69.09601507068454,62.773722627737236,69.7478991596639,47.48201438848923,29.90654205607474,25.15337423312885,35.29411764705881,19.9074074074074,38.23529411764706,33.333333333333336,14.285714285714276,10.0,23.33741573816849
6,6,1,3,1,1,0,-1,276,684,274,687,15,34,6875,18,43.11067370351144,91.47235320111889,65.83972125435538,0.0,12.068965517241361,24.28571428571429,0.0,36.170212765957444,0.0,28.155339805825246,53.101736972704686,72.65275594335833,79.9207435789525,75.63223918881012,0.0,79.69924812030074,61.68831168831173,0.0,33.175355450236964,42.666666666666664,54.14012738853504,55.88235294117647,60.0,63.63636363636361,57.14285714285715,30.43577703929931
